"Compra","Venda","Mult","Dif","Tend"
"204,0","208,5","1","4,5","0"
"208,5","195,5","1","-13,0","0"
"199,0","189,0","1","-10,0","0"
"208,5","211,0","1","2,5","0"
"211,0","223,0","3","36,0","1"
"211,5","223,0","5","57,5","2"
"223,0","204,5","7","-129,5","3"
"218,0","204,5","5","-67,5","2"
"218,0","204,5","1","-13,5","0"
"218,5","228,5","1","10,0","0"
"228,5","236,0","1","7,5","0"
"229,5","236,0","3","19,5","1"
"236,0","222,5","5","-67,5","2"
"235,5","222,5","3","-39,0","1"
"231,5","218,5","1","-13,0","0"
"233,0","222,5","1","-10,5","0"
"218,0","208,0","1","-10,0","0"
"213,5","219,0","1","5,5","0"
"219,0","222,0","3","9,0","1"
"218,5","222,0","1","3,5","0"
"217,0","220,5","1","3,5","0"
"220,5","209,5","3","-33,0","1"
"219,0","223,5","1","4,5","0"
"212,5","220,5","1","8,0","0"
"220,5","223,5","3","9,0","1"
"217,0","219,5","1","2,5","0"
"219,5","223,5","3","12,0","1"
"215,5","217,5","1","2,0","0"
"220,0","223,5","1","3,5","0"
"223,5","213,0","3","-31,5","1"
"220,5","225,0","1","4,5","0"
"213,0","221,5","1","8,5","0"
"214,0","221,5","3","22,5","1"
"213,0","221,5","1","8,5","0"
"221,5","225,0","3","10,5","1"
"221,0","225,0","1","4,0","0"
"225,0","228,5","3","10,5","1"
"228,5","231,5","5","15,0","2"
"229,5","231,5","7","14,0","3"
"231,5","213,5","9","-162,0","4"
"213,5","234,5","7","147,0","3"
"234,5","238,0","9","31,5","4"
"238,0","238,0","11","0,0","5"
"234,5","237,5","9","27,0","4"
"235,0","237,5","11","27,5","5"
"237,5","238,0","1","0,5","0"
"238,5","238,0","3","-1,5","1"
"238,5","238,0","1","-0,5","0"
"","","-70","",""
