"Compra","Venda","Mult","Dif","Tend"
"227,0","230,5","1","3,5","0"
"223,5","224,0","1","0,5","-3.5"
"224,0","225,0","1","1,0","0.5"
"225,0","230,5","4","22,0","1"
"230,5","232,0","6","9,0","5.5"
"232,0","238,0","8","48,0","1.5"
"238,0","238,5","10","5,0","7"
"238,5","240,0","12","18,0","0.5"
"240,0","244,0","4","16,0","1.5"
"244,0","248,5","6","27,0","4"
"248,5","251,0","8","20,0","4.5"
"251,0","252,5","10","15,0","5.5"
"252,5","253,0","8","4,0","7"
"253,0","254,0","10","10,0","0.5"
"254,0","255,5","1","1,5","3.5"
"255,5","257,0","4","6,0","1.5"
"257,0","259,5","6","15,0","1.5"
"259,5","261,5","8","16,0","2.5"
"261,5","262,5","6","6,0","7"
"262,5","263,5","1","1,0","4.5"
"259,0","262,0","1","3,0","-3.5"
"255,5","256,0","1","0,5","-3.5"
"256,0","256,5","1","0,5","0.5"
"252,5","253,5","1","1,0","-3.5"
"253,5","254,0","1","0,5","1"
"252,5","254,0","1","1,5","-1"
"254,0","255,0","4","4,0","1.5"
"255,0","255,5","1","0,5","4.5"
"255,0","255,5","1","0,5","0"
"255,5","256,5","4","4,0","0.5"
"256,5","257,0","6","3,0","1"
"257,0","258,0","8","8,0","0.5"
"258,0","258,5","8","4,0","1.5"
"258,5","262,0","1","3,5","4.5"
"262,0","263,5","4","6,0","3.5"
"263,5","242,0","1","-21,5","3.5"
"257,5","242,0","1","-15,5","-6"
"245,5","250,0","1","4,5","-12"
"250,0","251,0","1","1,0","4.5"
"251,0","251,5","1","0,5","1"
"250,5","251,5","1","1,0","-0.5"
"251,5","242,0","1","-9,5","1"
"251,5","242,0","1","-9,5","0"
"245,5","247,0","1","1,5","-6"
"247,0","242,0","4","-20,0","2"
"","","217.5","",""
