"Compra","Venda","Mult","Dif","Tend"
"292,0","292,0","1","0,0","0"
"290,0","292,0","1","2,0","0"
"290,0","290,0","3","0,0","-0"
"293,0","295,0","1","2,0","2"
"298,0","301,0","1","3,0","2"
"302,0","304,0","1","2,0","1"
"306,0","306,0","1","0,0","1"
"304,5","306,0","1","1,5","0"
"302,0","304,5","3","7,5","-0"
"298,0","302,0","5","20,0","-0"
"298,0","304,0","3","18,0","1"
"293,0","298,0","5","25,0","-1"
"293,0","293,0","7","0,0","-1"
"290,0","293,0","1","3,0","0"
"286,0","290,0","3","12,0","-0"
"284,0","286,0","5","10,0","-1"
"281,5","284,0","7","17,5","-0"
"281,0","281,5","9","4,5","-0"
"280,0","281,0","11","11,0","-0"
"278,5","280,0","13","19,5","-0"
"278,5","281,5","11","33,0","1"
"271,5","278,5","13","91,0","-0"
"280,0","280,5","11","5,5","1"
"271,5","280,0","13","110,5","-0"
"269,0","271,5","15","37,5","-2"
"269,0","272,0","13","39,0","1"
"263,5","269,0","15","82,5","-0"
"261,5","263,5","17","34,0","-1"
"257,5","261,5","19","76,0","-0"
"257,0","257,5","21","10,5","-1"
"257,0","257,0","23","0,0","-0"
"259,0","259,0","21","0,0","1"
"258,5","259,0","21","10,5","-0"
"257,0","258,5","23","34,5","-0"
"253,5","257,0","25","87,5","-0"
"252,0","253,5","27","40,5","-0"
"249,0","252,0","29","87,0","-0"
"249,0","253,0","27","108,0","1"
"245,5","249,0","29","101,5","-1"
"245,5","245,5","31","0,0","-0"
"242,0","245,5","1","3,5","0"
"239,0","242,0","3","9,0","-0"
"238,5","239,0","5","2,5","-0"
"237,0","238,5","7","10,5","-0"
"240,5","242,5","5","10,0","1"
"243,5","243,5","3","0,0","1"
"243,5","244,5","1","1,0","1"
"240,5","243,5","3","9,0","-0"
"237,0","240,5","5","17,5","-0"
"242,0","242,0","3","0,0","1"
"242,0","242,0","1","0,0","0"
"237,0","242,0","1","5,0","0"
"242,5","244,5","1","2,0","1"
"245,0","245,0","1","0,0","1"
"242,5","245,0","1","2,5","0"
"237,0","242,5","3","16,5","-0"
"234,5","237,0","5","12,5","-1"
"239,0","239,5","3","1,5","1"
"239,0","239,0","5","0,0","-0"
"237,5","239,0","1","1,5","0"
"242,5","243,0","1","0,5","1"
"244,0","244,0","1","0,0","1"
"242,5","244,0","1","1,5","0"
"241,0","242,5","3","4,5","-0"
"237,5","241,0","5","17,5","-0"
"237,5","237,5","7","0,0","-0"
"234,5","237,5","1","3,0","0"
"232,0","234,5","3","7,5","-0"
"232,0","236,0","1","4,0","1"
"230,5","232,0","3","4,5","-1"
"230,5","230,5","5","0,0","-0"
"232,0","232,0","3","0,0","1"
"230,5","232,0","1","1,5","0"
"229,0","230,5","3","4,5","-0"
"228,0","229,0","5","5,0","-0"
"229,5","229,5","3","0,0","1"
"228,0","229,5","1","1,5","0"
"226,0","228,0","3","6,0","-0"
"226,0","226,0","5","0,0","-0"
"226,0","230,0","3","12,0","1"
"232,0","232,0","1","0,0","1"
"231,0","232,0","1","1,0","0"
"232,5","233,5","1","1,0","1"
"231,0","232,5","1","1,5","-0"
"233,0","233,0","1","0,0","1"
"231,0","233,0","1","2,0","0"
"231,0","231,0","3","0,0","-0"
"231,0","231,0","1","0,0","0"
"231,0","232,0","1","1,0","1"
"226,0","231,0","1","5,0","-0"
"226,0","231,5","1","5,5","1"
"235,5","236,0","1","0,5","2"
"232,5","235,5","1","3,0","-0"
"232,5","232,5","1","0,0","-0"
"232,5","234,0","1","1,5","1"
"226,0","232,5","1","6,5","-0"
"223,5","226,0","3","7,5","-1"
"221,0","223,5","5","12,5","-0"
"219,0","221,0","7","14,0","-0"
"218,0","219,0","9","9,0","-0"
"218,0","222,0","7","28,0","1"
"218,0","218,0","9","0,0","-1"
"","","1425","",""
