"Compra","Venda","Mult","Dif","Tend"
"252,0","256,0","1","4,0","0"
"256,0","260,0","4","16,0","4"
"260,0","263,0","6","18,0","4"
"263,0","264,0","8","8,0","3"
"264,0","266,0","10","20,0","1"
"259,0","263,0","12","48,0","-5"
"263,0","266,0","10","30,0","4"
"259,0","266,0","11","77,0","-4"
"266,0","268,0","10","20,0","7"
"268,0","268,5","12","6,0","2"
"268,5","269,5","14","14,0","0.5"
"268,5","269,5","1","1,0","0"
"269,5","270,5","4","4,0","1"
"270,5","271,0","6","3,0","1"
"271,0","274,5","8","28,0","0.5"
"274,5","276,0","10","15,0","3.5"
"276,0","278,0","12","24,0","1.5"
"274,5","278,0","11","38,5","-1.5"
"271,5","274,5","10","30,0","-3"
"274,5","278,0","10","35,0","3"
"278,0","279,0","12","12,0","3.5"
"279,0","282,5","14","49,0","1"
"282,5","283,5","16","16,0","3.5"
"282,5","283,5","1","1,0","0"
"275,0","278,0","1","3,0","-7.5"
"278,0","280,5","1","2,5","3"
"280,5","283,5","4","12,0","2.5"
"283,5","288,0","6","27,0","3"
"283,5","288,0","1","4,5","0"
"288,0","286,0","4","-8,0","4.5"
"286,5","286,0","1","-0,5","-1.5"
"284,0","286,0","1","2,0","-2.5"
"281,0","282,0","1","1,0","-3"
"279,5","282,0","1","2,5","-1.5"
"279,0","282,0","1","3,0","-0.5"
"282,0","282,5","1","0,5","3"
"280,5","281,0","1","0,5","-1.5"
"280,0","281,0","1","1,0","-0.5"
"281,0","282,0","1","1,0","1"
"280,0","280,5","1","0,5","-1"
"278,0","278,5","1","0,5","-2"
"274,5","275,5","1","1,0","-3.5"
"273,5","275,5","1","2,0","-1"
"275,5","276,5","1","1,0","2"
"274,5","276,5","1","2,0","-1"
"276,5","277,5","1","1,0","2"
"275,5","276,0","1","0,5","-1"
"274,0","274,5","1","0,5","-1.5"
"270,5","273,5","1","3,0","-3.5"
"269,5","273,5","1","4,0","-1"
"268,0","273,5","1","5,5","-1.5"
"273,5","274,5","1","1,0","5.5"
"272,5","273,0","1","0,5","-1"
"273,0","273,5","1","0,5","0.5"
"271,5","273,5","1","2,0","-1.5"
"273,5","274,5","1","1,0","2"
"273,0","273,5","1","0,5","-0.5"
"272,0","273,5","1","1,5","-1"
"268,5","273,5","1","5,0","-3.5"
"266,5","267,0","1","0,5","-2"
"267,0","268,5","1","1,5","0.5"
"268,5","273,5","1","5,0","1.5"
"268,0","268,5","1","0,5","-0.5"
"265,5","267,0","1","1,5","-2.5"
"267,0","267,5","1","0,5","1.5"
"267,5","268,0","1","0,5","0.5"
"266,0","267,5","1","1,5","-1.5"
"264,5","265,0","1","0,5","-1.5"
"265,0","267,5","1","2,5","0.5"
"264,5","267,5","1","3,0","-0.5"
"267,5","268,0","1","0,5","3"
"266,0","267,5","1","1,5","-1.5"
"267,5","268,0","1","0,5","1.5"
"267,5","268,0","1","0,5","0"
"267,5","268,0","1","0,5","0"
"267,0","268,0","1","1,0","-0.5"
"268,0","268,5","1","0,5","1"
"265,5","266,0","1","0,5","-2.5"
"264,0","265,5","1","1,5","-1.5"
"265,5","266,0","1","0,5","1.5"
"266,0","268,5","1","2,5","0.5"
"268,5","273,5","4","20,0","2.5"
"267,5","268,0","1","0,5","-1"
"268,0","273,5","4","22,0","0.5"
"273,5","274,5","6","6,0","5.5"
"272,0","273,0","5","5,0","-1.5"
"271,0","273,0","1","2,0","-1"
"271,0","273,0","1","2,0","0"
"273,0","274,5","4","6,0","2"
"274,5","276,0","6","9,0","1.5"
"274,5","276,0","1","1,5","0"
"276,0","277,5","4","6,0","1.5"
"274,0","275,5","1","1,5","-2"
"274,0","275,5","1","1,5","0"
"275,5","276,0","4","2,0","1.5"
"276,0","277,5","6","9,0","0.5"
"277,5","278,5","8","8,0","1.5"
"277,5","278,5","1","1,0","0"
"278,5","280,5","4","8,0","1"
"280,5","281,0","6","3,0","2"
"279,5","281,0","4","6,0","-1"
"281,0","282,0","6","6,0","1.5"
"282,0","282,5","8","4,0","1"
"282,0","282,5","1","0,5","0"
"282,5","286,0","4","14,0","0.5"
"282,0","286,0","1","4,0","-0.5"
"282,0","286,0","1","4,0","0"
"286,0","286,0","4","0,0","4"
"","","783","",""
