"Compra","Venda","Mult","Dif","Tend"
"284,0","289,0","1","5,0","0"
"289,0","291,5","3","7,5","1"
"291,5","254,0","5","-187,5","2"
"290,0","292,0","3","6,0","1"
"291,0","254,0","5","-185,0","2"
"292,0","254,0","7","-266,0","3"
"254,0","258,0","5","20,0","2"
"258,0","264,0","7","42,0","3"
"255,0","264,0","5","45,0","2"
"264,0","267,0","7","21,0","3"
"262,0","267,0","5","25,0","2"
"262,0","267,0","1","5,0","0"
"267,0","271,0","3","12,0","1"
"271,0","259,0","5","-60,0","2"
"267,0","257,0","3","-30,0","1"
"266,0","269,0","1","3,0","0"
"259,0","262,0","1","3,0","0"
"258,0","262,0","1","4,0","0"
"259,0","262,0","3","9,0","1"
"262,0","264,0","5","10,0","2"
"259,0","264,0","3","15,0","1"
"264,0","269,0","5","25,0","2"
"269,0","274,0","7","35,0","3"
"268,0","270,0","5","10,0","2"
"268,0","270,0","1","2,0","0"
"270,0","274,0","3","12,0","1"
"274,0","278,0","5","20,0","2"
"278,0","282,0","7","28,0","3"
"282,0","271,0","9","-99,0","4"
"277,0","280,0","7","21,0","3"
"276,0","280,0","5","20,0","2"
"275,0","280,0","3","15,0","1"
"271,0","273,0","1","2,0","0"
"273,0","280,0","3","21,0","1"
"280,0","282,0","5","10,0","2"
"278,5","281,0","3","7,5","1"
"281,0","270,0","5","-55,0","2"
"279,0","281,0","3","6,0","1"
"277,0","281,0","1","4,0","0"
"271,5","274,5","1","3,0","0"
"272,5","274,5","3","6,0","1"
"274,5","278,0","5","17,5","2"
"278,0","281,0","7","21,0","3"
"277,0","281,0","5","20,0","2"
"278,0","281,0","7","21,0","3"
"281,0","270,0","9","-99,0","4"
"282,0","271,5","11","-115,5","5"
"282,0","271,5","1","-10,5","0"
"277,5","267,5","1","-10,0","0"
"278,0","268,0","3","-30,0","1"
"271,5","273,5","1","2,0","0"
"271,5","273,5","1","2,0","0"
"271,0","273,5","1","2,5","0"
"274,0","278,5","1","4,5","0"
"273,5","278,5","1","5,0","0"
"278,5","278,0","3","-1,5","1"
"280,0","278,0","5","-10,0","2"
"278,0","278,0","3","0,0","1"
"278,5","278,0","5","-2,5","2"
"277,0","278,0","3","3,0","1"
"276,0","278,0","1","2,0","0"
"278,0","278,0","3","0,0","1"
"","","-581","",""
