"Compra","Venda","Mult","Dif","Tend"
"273,5","276,0","1","2,5","0"
"276,0","281,0","3","15,0","1"
"276,0","281,0","1","5,0","0"
"276,0","281,0","1","5,0","0"
"281,0","283,0","3","6,0","2"
"283,0","289,0","5","30,0","1"
"289,0","289,5","7","3,5","2"
"289,5","292,5","9","27,0","1"
"289,5","292,5","1","3,0","0"
"286,5","288,5","1","2,0","-0"
"288,5","292,5","1","4,0","1"
"292,5","294,0","3","4,5","1"
"294,0","295,0","5","5,0","1"
"291,0","291,5","3","1,5","-0"
"291,0","291,5","1","0,5","0"
"291,5","293,5","3","6,0","1"
"291,0","293,5","1","2,5","-0"
"289,0","290,0","1","1,0","-0"
"288,0","290,0","1","2,0","-0"
"286,0","287,5","1","1,5","-0"
"287,5","290,0","1","2,5","1"
"290,0","293,5","1","3,5","1"
"293,5","295,0","1","1,5","1"
"293,0","295,0","1","2,0","-0"
"295,0","296,5","1","1,5","1"
"293,5","294,0","1","0,5","-0"
"294,0","296,5","1","2,5","1"
"296,5","300,0","3","10,5","1"
"295,5","296,5","1","1,0","-0"
"295,5","296,5","1","1,0","0"
"296,5","300,0","3","10,5","1"
"296,0","300,0","1","4,0","-0"
"294,0","295,5","1","1,5","-0"
"295,5","300,0","1","4,5","1"
"300,0","304,0","3","12,0","2"
"304,0","305,0","5","5,0","1"
"302,0","302,5","3","1,5","-0"
"302,5","303,5","5","5,0","1"
"302,5","303,5","1","1,0","0"
"303,5","305,0","3","4,5","1"
"302,0","305,0","1","3,0","-0"
"300,5","301,0","1","0,5","-0"
"301,0","305,0","1","4,0","1"
"300,5","301,0","1","0,5","-0"
"301,0","305,0","1","4,0","1"
"300,5","301,0","1","0,5","-0"
"299,0","300,5","1","1,5","-0"
"300,5","301,0","1","0,5","1"
"296,0","297,0","1","1,0","-1"
"297,0","300,0","1","3,0","1"
"294,5","296,5","1","2,0","-0"
"294,5","296,5","1","2,0","0"
"296,5","300,0","3","10,5","1"
"296,0","300,0","1","4,0","-0"
"294,5","296,0","1","1,5","-0"
"296,0","300,0","1","4,0","1"
"300,0","300,5","3","1,5","1"
"298,5","299,0","1","0,5","-0"
"299,0","300,0","3","3,0","1"
"297,0","297,5","1","0,5","-0"
"295,0","295,5","1","0,5","-0"
"295,0","295,5","1","0,5","0"
"295,5","296,5","3","3,0","1"
"296,5","297,5","5","5,0","1"
"297,5","298,0","7","3,5","1"
"297,0","298,0","5","5,0","-0"
"298,0","300,0","3","6,0","1"
"300,0","300,5","5","2,5","1"
"300,0","300,5","1","0,5","0"
"300,0","300,5","1","0,5","0"
"299,5","300,0","1","0,5","-0"
"298,0","298,5","1","0,5","-0"
"298,5","300,0","1","1,5","1"
"300,0","300,5","1","0,5","1"
"297,5","298,0","1","0,5","-0"
"297,5","298,0","1","0,5","0"
"296,0","296,5","1","0,5","-0"
"295,0","296,0","1","1,0","-0"
"296,0","296,5","1","0,5","1"
"295,5","296,5","1","1,0","-0"
"296,5","297,0","1","0,5","1"
"297,0","298,0","1","1,0","1"
"298,0","300,5","3","7,5","1"
"300,5","301,0","5","2,5","1"
"301,0","305,0","7","28,0","1"
"305,0","305,5","9","4,5","1"
"304,0","304,5","7","3,5","-0"
"304,5","305,5","9","9,0","1"
"305,5","306,5","11","11,0","1"
"304,0","304,5","9","4,5","-0"
"304,5","306,5","11","22,0","1"
"306,5","307,0","13","6,5","1"
"306,0","307,0","11","11,0","-0"
"307,0","309,0","13","26,0","1"
"307,0","309,0","1","2,0","0"
"306,5","309,0","1","2,5","-0"
"309,0","309,5","1","0,5","1"
"308,0","309,0","1","1,0","-0"
"308,0","309,0","1","1,0","0"
"308,0","309,0","1","1,0","0"
"309,0","309,5","3","1,5","1"
"307,0","308,0","1","1,0","-0"
"308,0","309,5","3","4,5","1"
"309,5","307,0","5","-12,5","1"
"309,5","307,0","1","-2,5","0"
"309,0","307,0","1","-2,0","-0"
"307,0","307,0","1","0,0","-0"
"","","421","",""
