"Compra","Venda","Mult","Dif","Tend"
"227,0","230,5","1","3,5","0"
"223,5","224,0","1","0,5","-0"
"224,0","225,0","1","1,0","1"
"225,0","230,5","4","22,0","1"
"230,5","232,0","6","9,0","2"
"232,0","238,0","8","48,0","1"
"238,0","238,5","10","5,0","2"
"238,5","240,0","12","18,0","1"
"240,0","244,0","4","16,0","1"
"244,0","248,5","6","27,0","1"
"248,5","251,0","8","20,0","2"
"251,0","252,5","10","15,0","2"
"252,5","253,0","8","4,0","2"
"253,0","254,0","10","10,0","1"
"254,0","255,5","1","1,5","1"
"255,5","257,0","4","6,0","1"
"257,0","259,5","6","15,0","1"
"259,5","261,5","8","16,0","1"
"261,5","262,5","6","6,0","2"
"262,5","263,5","1","1,0","2"
"259,0","262,0","1","3,0","-0"
"255,5","256,0","1","0,5","-0"
"256,0","256,5","1","0,5","1"
"252,5","253,5","1","1,0","-0"
"253,5","254,0","1","0,5","1"
"252,5","254,0","1","1,5","-0"
"254,0","255,0","4","4,0","1"
"255,0","255,5","1","0,5","2"
"255,0","255,5","1","0,5","0"
"255,5","256,5","4","4,0","1"
"256,5","257,0","6","3,0","1"
"257,0","258,0","8","8,0","1"
"258,0","258,5","8","4,0","1"
"258,5","262,0","1","3,5","2"
"262,0","263,5","4","6,0","1"
"263,5","242,0","1","-21,5","1"
"257,5","242,0","1","-15,5","-1"
"245,5","250,0","1","4,5","-3"
"250,0","251,0","1","1,0","2"
"251,0","251,5","1","0,5","1"
"250,5","251,5","1","1,0","-0"
"251,5","242,0","1","-9,5","1"
"251,5","242,0","1","-9,5","0"
"245,5","247,0","1","1,5","-1"
"247,0","242,0","4","-20,0","1"
"","","217.5","",""
