"Compra","Venda","Mult","Dif","Tend"
"282,5","288,5","1","6,0","0"
"288,5","290,5","4","8,0","2"
"290,5","291,5","6","6,0","1"
"291,5","293,5","6","12,0","1"
"293,5","295,5","8","16,0","1"
"295,5","299,0","10","35,0","1"
"299,0","301,5","12","30,0","1"
"301,5","302,0","14","7,0","1"
"302,0","302,5","14","7,0","1"
"302,5","306,0","14","49,0","1"
"306,0","307,0","16","16,0","1"
"307,0","311,0","18","72,0","1"
"311,0","314,0","1","3,0","2"
"310,5","314,0","1","3,5","-0"
"314,0","317,0","1","3,0","1"
"310,0","312,5","1","2,5","-1"
"308,0","312,5","1","4,5","-0"
"312,5","314,0","1","1,5","2"
"314,0","317,0","1","3,0","1"
"311,5","313,0","1","1,5","-0"
"313,0","317,0","1","4,0","1"
"317,0","318,0","4","4,0","1"
"318,0","326,0","6","48,0","1"
"326,0","329,5","4","14,0","2"
"329,5","333,0","6","21,0","1"
"333,0","334,5","10","15,0","3"
"334,5","342,5","12","96,0","1"
"342,5","348,5","14","84,0","3"
"348,5","334,0","12","-174,0","2"
"","","398.5","",""
