"Compra","Venda","Mult","Dif","Tend"
"195,5","198,0","1","2,5","0"
"195,5","197,5","1","2,0","0"
"195,5","197,5","1","2,0","0"
"206,5","195,5","3","-33,0","-1"
"196,5","199,5","1","3,0","0"
"206,5","196,5","3","-30,0","-1"
"211,5","200,0","1","-11,5","0"
"211,5","200,5","1","-11,0","0"
"201,5","204,0","1","2,5","0"
"201,5","204,0","1","2,5","0"
"211,5","201,5","3","-30,0","-1"
"211,5","201,0","5","-52,5","-2"
"203,0","205,0","3","6,0","-1"
"213,5","203,0","5","-52,5","-2"
"211,5","201,5","7","-70,0","-3"
"217,0","205,5","5","-57,5","-2"
"218,0","208,0","3","-30,0","-1"
"214,0","217,0","1","3,0","0"
"224,5","214,0","1","-10,5","0"
"223,5","213,0","1","-10,5","0"
"218,5","221,0","1","2,5","0"
"216,5","218,5","3","6,0","-1"
"216,5","219,0","1","2,5","0"
"228,5","216,5","3","-36,0","-1"
"231,0","220,0","1","-11,0","0"
"227,0","231,0","1","4,0","0"
"227,0","230,0","3","9,0","-1"
"227,0","229,5","5","12,5","-2"
"229,5","232,5","3","9,0","-1"
"232,5","234,5","1","2,0","0"
"229,5","232,5","3","9,0","-1"
"229,5","233,0","1","3,5","0"
"227,0","229,5","3","7,5","-1"
"241,0","227,0","5","-70,0","-2"
"241,0","229,0","3","-36,0","-1"
"241,0","229,5","1","-11,5","0"
"241,0","228,0","3","-39,0","-1"
"241,0","228,5","1","-12,5","0"
"229,0","231,0","1","2,0","0"
"229,0","231,5","1","2,5","0"
"241,0","230,0","3","-33,0","-1"
"241,0","229,0","5","-60,0","-2"
"241,0","229,0","1","-12,0","0"
"243,0","233,0","1","-10,0","0"
"240,0","237,5","1","-2,5","0"
"240,0","237,0","3","-9,0","-1"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"239,5","242,5","1","3,0","0"
"239,5","241,5","1","2,0","0"
"239,5","241,5","1","2,0","0"
"240,0","241,0","3","3,0","-1"
"240,0","239,5","5","-2,5","-2"
"240,0","240,0","3","0,0","-1"
"","","-638.5","",""
