"Compra","Venda","Mult","Dif","Tend"
"256,5","263,5","1","7,0","0"
"263,5","264,0","4","2,0","7"
"264,0","269,5","6","33,0","0.5"
"269,5","272,0","8","20,0","5.5"
"272,0","277,0","10","50,0","2.5"
"271,0","277,0","8","48,0","-1"
"269,5","277,0","7","52,5","-1.5"
"267,5","277,0","5","47,5","-2"
"267,0","277,0","1","10,0","-0.5"
"277,0","281,0","4","16,0","10"
"274,0","281,0","1","7,0","-3"
"281,0","284,0","4","12,0","7"
"276,5","278,0","1","1,5","-4.5"
"273,0","274,0","1","1,0","-3.5"
"272,0","274,0","1","2,0","-1"
"271,5","274,0","1","2,5","-0.5"
"271,5","274,0","1","2,5","0"
"274,0","278,0","4","16,0","2.5"
"273,5","278,0","1","4,5","-0.5"
"278,0","284,0","4","24,0","4.5"
"278,0","284,0","1","6,0","0"
"284,0","293,0","4","36,0","6"
"293,0","297,0","6","24,0","9"
"293,0","297,0","1","4,0","0"
"289,0","292,5","1","3,5","-4"
"292,5","297,0","1","4,5","3.5"
"287,0","292,5","1","5,5","-5.5"
"283,5","292,5","1","9,0","-3.5"
"292,5","297,0","1","4,5","9"
"290,0","292,5","1","2,5","-2.5"
"292,5","297,0","1","4,5","2.5"
"297,0","297,5","1","0,5","4.5"
"291,0","292,5","1","1,5","-6"
"286,0","286,5","1","0,5","-5"
"286,5","290,0","1","3,5","0.5"
"281,5","283,5","1","2,0","-5"
"279,0","280,5","1","1,5","-2.5"
"280,5","283,5","1","3,0","1.5"
"283,5","286,0","1","2,5","3"
"286,0","290,0","1","4,0","2.5"
"284,5","285,5","1","1,0","-1.5"
"280,5","283,0","1","2,5","-4"
"278,5","283,0","1","4,5","-2"
"283,0","283,5","1","0,5","4.5"
"283,0","283,5","1","0,5","0"
"283,5","285,5","4","8,0","0.5"
"285,5","290,0","6","27,0","2"
"290,0","292,5","8","20,0","4.5"
"287,0","287,5","8","4,0","-3"
"287,0","287,5","1","0,5","0"
"287,5","289,5","4","8,0","0.5"
"289,5","292,5","6","18,0","2"
"288,0","289,0","5","5,0","-1.5"
"286,0","286,5","1","0,5","-2"
"286,5","287,5","4","4,0","0.5"
"286,0","287,5","1","1,5","-0.5"
"285,0","287,5","1","2,5","-1"
"287,5","289,0","1","1,5","2.5"
"289,0","289,5","4","2,0","1.5"
"289,0","289,5","1","0,5","0"
"289,5","292,5","4","12,0","0.5"
"289,5","292,5","1","3,0","0"
"292,5","293,5","4","4,0","3"
"293,5","295,0","6","9,0","1"
"291,5","295,0","5","17,5","-2"
"295,0","297,5","6","15,0","3.5"
"297,5","298,0","8","4,0","2.5"
"298,0","299,0","10","10,0","0.5"
"299,0","303,5","12","54,0","1"
"303,5","290,0","14","-189,0","4.5"
"299,5","300,5","15","15,0","-4"
"298,5","300,5","10","20,0","-1"
"298,0","298,5","8","4,0","-0.5"
"298,0","298,5","1","0,5","0"
"294,0","298,5","1","4,5","-4"
"298,5","300,5","1","2,0","4.5"
"298,0","300,5","1","2,5","-0.5"
"293,0","296,5","1","3,5","-5"
"292,0","293,0","1","1,0","-1"
"289,0","291,5","1","2,5","-3"
"291,5","293,0","1","1,5","2.5"
"290,0","293,0","1","3,0","-1.5"
"289,0","290,0","1","1,0","-1"
"290,0","293,0","1","3,0","1"
"288,0","293,0","1","5,0","-2"
"293,0","296,5","1","3,5","5"
"296,5","297,0","1","0,5","3.5"
"297,0","300,5","1","3,5","0.5"
"296,5","297,0","1","0,5","-0.5"
"296,5","297,0","1","0,5","0"
"294,5","297,0","1","2,5","-2"
"293,5","297,0","1","3,5","-1"
"292,5","293,0","1","0,5","-1"
"293,0","297,0","1","4,0","0.5"
"297,0","300,5","1","3,5","4"
"300,5","303,0","1","2,5","3.5"
"303,0","290,0","4","-52,0","2.5"
"299,5","300,5","1","1,0","-3.5"
"300,5","302,0","4","6,0","1"
"298,5","302,0","1","3,5","-2"
"302,0","290,0","4","-48,0","3.5"
"299,5","290,0","1","-9,5","-2.5"
"296,5","290,0","1","-6,5","-3"
"292,0","292,5","1","0,5","-4.5"
"292,5","295,0","1","2,5","0.5"
"295,0","290,0","1","-5,0","2.5"
"294,5","290,0","1","-4,5","-0.5"
"290,0","290,0","1","0,0","-4.5"
"","","515.5","",""
