"Compra","Venda","Mult","Dif","Tend"
"253,0","253,5","1","0,5","0"
"249,5","253,0","4","14,0","-0"
"247,0","249,5","6","15,0","-0"
"241,0","247,0","8","48,0","-0"
"240,0","241,0","10","10,0","-1"
"238,0","240,0","12","24,0","-0"
"237,5","238,0","12","6,0","-0"
"237,0","237,5","14","7,0","-0"
"234,0","237,0","16","48,0","-0"
"234,0","234,0","18","0,0","-0"
"233,5","234,0","14","7,0","-0"
"232,0","233,5","10","15,0","-0"
"232,0","232,0","12","0,0","-0"
"232,0","232,0","6","0,0","-0"
"228,0","232,0","1","4,0","0"
"228,0","228,0","4","0,0","-1"
"228,0","228,5","1","0,5","1"
"226,5","228,0","4","6,0","-0"
"225,0","226,5","6","9,0","-0"
"224,0","225,0","4","4,0","-0"
"223,0","224,0","6","6,0","-0"
"222,5","223,0","6","3,0","-0"
"222,5","222,5","8","0,0","-0"
"220,0","222,5","1","2,5","0"
"219,0","220,0","4","4,0","-0"
"221,0","222,0","1","1,0","1"
"219,0","221,0","4","8,0","-0"
"218,0","219,0","6","6,0","-0"
"218,0","218,0","8","0,0","-0"
"215,5","218,0","8","20,0","-0"
"215,5","215,5","6","0,0","-1"
"","","268.5","",""
