"Compra","Venda","Mult","Dif","Tend"
"315,0","320,5","1","5,5","0"
"309,5","315,0","3","16,5","-1"
"309,5","309,5","5","0,0","-1"
"309,0","309,5","1","0,5","0"
"307,0","309,0","3","6,0","-0"
"306,0","307,0","5","5,0","-0"
"304,5","306,0","7","10,5","-0"
"308,5","308,5","5","0,0","1"
"306,5","308,5","1","2,0","0"
"304,5","306,5","3","6,0","-0"
"304,5","304,5","5","0,0","-0"
"306,0","308,0","3","6,0","1"
"312,5","313,0","1","0,5","2"
"313,5","315,5","1","2,0","1"
"313,5","313,5","1","0,0","-0"
"313,5","314,5","1","1,0","1"
"313,5","313,5","1","0,0","-0"
"315,0","317,5","1","2,5","1"
"315,0","321,0","1","6,0","1"
"314,5","315,0","1","0,5","-1"
"313,5","314,5","1","1,0","-0"
"313,5","319,0","1","5,5","2"
"312,5","313,5","1","1,0","-1"
"312,5","317,0","1","4,5","1"
"306,0","312,5","1","6,5","-1"
"305,5","306,0","3","1,5","-1"
"305,5","307,0","1","1,5","1"
"305,5","308,0","1","2,5","1"
"304,5","305,5","1","1,0","-0"
"304,5","304,5","3","0,0","-0"
"302,0","304,5","1","2,5","0"
"305,0","305,0","1","0,0","1"
"305,0","305,5","1","0,5","1"
"306,5","307,0","1","0,5","1"
"305,0","306,5","1","1,5","-0"
"305,0","307,0","1","2,0","1"
"302,0","305,0","1","3,0","-0"
"295,0","302,0","1","7,0","-0"
"295,0","303,0","1","8,0","1"
"291,5","295,0","1","3,5","-2"
"290,5","291,5","1","1,0","-0"
"290,5","292,0","1","1,5","1"
"294,5","294,5","1","0,0","1"
"298,0","298,5","1","0,5","1"
"296,5","298,0","1","1,5","-0"
"298,5","299,0","1","0,5","1"
"296,5","298,5","1","2,0","-0"
"294,5","296,5","1","2,0","-0"
"290,5","294,5","1","4,0","-0"
"299,5","300,0","1","0,5","2"
"299,5","302,0","1","2,5","1"
"303,5","304,0","1","0,5","1"
"299,5","303,5","1","4,0","-0"
"296,5","299,5","1","3,0","-1"
"290,5","296,5","1","6,0","-0"
"286,5","290,5","3","12,0","-1"
"293,5","294,5","1","1,0","1"
"295,5","296,0","1","0,5","1"
"295,0","295,5","1","0,5","-0"
"293,5","295,0","3","4,5","-0"
"297,0","298,0","1","1,0","1"
"293,5","297,0","3","10,5","-0"
"286,5","293,5","5","35,0","-0"
"283,5","286,5","7","21,0","-1"
"290,0","291,5","5","7,5","2"
"290,0","293,5","3","10,5","1"
"290,0","294,5","1","4,5","1"
"283,5","290,0","3","19,5","-1"
"283,5","291,0","1","7,5","1"
"276,0","283,5","3","22,5","-1"
"273,0","276,0","5","15,0","-1"
"270,0","273,0","7","21,0","-0"
"269,0","270,0","9","9,0","-0"
"267,0","269,0","11","22,0","-0"
"267,0","269,5","9","22,5","1"
"265,5","267,0","11","16,5","-0"
"268,0","269,0","9","9,0","1"
"271,5","273,5","7","14,0","2"
"268,0","271,5","9","31,5","-0"
"268,0","268,0","11","0,0","-0"
"267,5","268,0","1","0,5","0"
"267,5","267,5","3","0,0","-0"
"267,5","268,0","1","0,5","1"
"267,5","268,5","1","1,0","1"
"265,5","267,5","1","2,0","-0"
"264,0","265,5","3","4,5","-0"
"260,5","264,0","5","17,5","-0"
"266,5","260,5","7","-42,0","-0"
"262,5","262,5","5","0,0","1"
"262,5","264,0","3","4,5","1"
"264,5","265,5","1","1,0","1"
"262,5","264,5","3","6,0","-0"
"262,0","262,5","5","2,5","-0"
"262,0","262,0","7","0,0","-0"
"264,5","264,5","5","0,0","1"
"266,0","267,5","3","4,5","1"
"264,5","266,0","5","7,5","-0"
"264,5","266,5","3","6,0","1"
"267,0","267,5","1","0,5","1"
"264,5","267,0","3","7,5","-0"
"263,0","264,5","5","7,5","-0"
"262,0","263,0","7","7,0","-0"
"261,5","262,0","9","4,5","-0"
"266,5","261,5","11","-55,0","-0"
"263,0","264,0","9","9,0","1"
"266,5","263,0","11","-38,5","-0"
"266,5","266,5","9","0,0","1"
"266,5","266,5","1","0,0","0"
"","","430.5","",""
