"Compra","Venda","Mult","Dif","Tend"
"284,0","289,0","1","5,0","0"
"289,0","291,5","3","7,5","2"
"291,5","292,0","5","2,5","1"
"290,0","291,0","3","3,0","-0"
"291,0","292,0","5","5,0","1"
"292,0","280,0","7","-84,0","1"
"254,0","258,0","5","20,0","-9"
"258,0","264,0","7","42,0","1"
"255,0","264,0","5","45,0","-0"
"264,0","267,0","7","21,0","3"
"262,0","267,0","5","25,0","-0"
"262,0","267,0","1","5,0","0"
"267,0","271,0","3","12,0","2"
"271,0","274,0","5","15,0","1"
"267,0","269,0","3","6,0","-1"
"266,0","269,0","1","3,0","-0"
"259,0","262,0","1","3,0","-1"
"257,0","259,0","1","2,0","-0"
"259,0","262,0","1","3,0","1"
"259,0","262,0","1","3,0","0"
"257,0","258,0","1","1,0","-0"
"258,0","259,0","1","1,0","1"
"259,0","262,0","3","9,0","1"
"262,0","264,0","5","10,0","1"
"259,0","264,0","3","15,0","-0"
"264,0","269,0","5","25,0","2"
"269,0","270,0","7","7,0","2"
"268,0","270,0","5","10,0","-0"
"268,0","270,0","1","2,0","0"
"270,0","274,0","3","12,0","1"
"274,0","278,0","5","20,0","1"
"278,0","282,0","7","28,0","1"
"282,0","282,5","9","4,5","1"
"277,0","280,0","7","21,0","-1"
"276,0","280,0","5","20,0","-0"
"275,0","280,0","3","15,0","-0"
"280,0","281,0","5","5,0","2"
"278,5","281,0","3","7,5","-0"
"281,0","282,0","5","5,0","1"
"279,0","281,0","3","6,0","-0"
"277,0","278,0","1","1,0","-0"
"274,0","274,5","1","0,5","-0"
"271,5","272,5","1","1,0","-0"
"271,5","272,5","1","1,0","0"
"272,5","274,5","3","6,0","1"
"274,5","278,0","5","17,5","1"
"278,0","281,0","7","21,0","1"
"281,0","282,0","9","9,0","1"
"282,0","282,5","11","5,5","1"
"282,0","282,5","1","0,5","0"
"281,0","282,0","1","1,0","-0"
"277,0","277,5","1","0,5","-1"
"277,5","278,0","1","0,5","1"
"278,0","278,5","3","1,5","1"
"278,5","280,0","5","7,5","1"
"280,0","282,0","5","10,0","1"
"282,0","282,5","5","2,5","1"
"282,5","280,0","5","-12,5","1"
"282,0","280,0","3","-6,0","-0"
"280,0","280,0","1","0,0","-0"
"","","436","",""
