"Compra","Venda","Mult","Dif","Tend"
"229,5","231,5","1","2,0","0"
"224,0","226,0","4","8,0","-3.5"
"221,0","224,0","6","18,0","-2"
"217,5","221,0","8","28,0","-3"
"215,0","217,5","10","25,0","-3.5"
"219,5","220,5","10","10,0","3"
"218,5","219,5","4","4,0","-3"
"218,5","220,5","4","8,0","-1"
"215,0","218,5","6","21,0","-2"
"215,0","228,5","13","175,5","10"
"209,0","215,0","6","36,0","-13.5"
"204,5","209,0","8","36,0","-6"
"202,0","204,5","10","25,0","-4.5"
"204,5","206,5","9","18,0","2"
"202,0","204,5","10","25,0","-2"
"206,5","210,0","13","45,5","5.5"
"206,0","206,5","10","5,0","-3.5"
"206,0","209,5","10","35,0","3"
"211,5","212,0","8","4,0","2.5"
"210,5","211,5","8","8,0","-0.5"
"209,5","210,5","10","10,0","-1"
"206,0","209,5","12","42,0","-1"
"202,0","206,0","14","56,0","-3.5"
"198,5","202,0","16","56,0","-4"
"197,0","198,5","18","27,0","-3.5"
"265,0","197,0","4","-272,0","-1.5"
"239,5","242,0","4","10,0","-0.5"
"265,0","239,5","6","-153,0","-2.5"
"242,5","243,0","7","3,5","3.5"
"265,0","242,5","4","-90,0","-3"
"263,0","264,0","4","4,0","-1"
"265,0","263,0","4","-8,0","-1"
"265,0","263,0","4","-8,0","-2.5"
"273,0","274,0","4","4,0","-1"
"272,0","273,0","6","6,0","-1"
"272,0","274,0","4","8,0","1"
"272,0","274,0","4","8,0","-0.5"
"265,0","272,0","4","28,0","-2"
"265,0","272,5","4","30,0","-1.5"
"265,0","273,0","4","32,0","-2"
"","","330.5","",""
