"Compra","Venda","Mult","Dif","Tend"
"231,5","233,5","1","2,0","0"
"231,5","233,5","1","2,0","0"
"231,5","233,5","1","2,0","0"
"231,5","233,5","1","2,0","0"
"233,5","221,0","3","-37,5","1"
"235,0","224,0","5","-55,0","2"
"233,5","221,0","3","-37,5","1"
"229,5","217,5","1","-12,0","0"
"220,5","222,5","1","2,0","0"
"222,5","228,5","3","18,0","1"
"224,0","228,5","5","22,5","2"
"222,0","224,0","3","6,0","1"
"224,0","228,5","5","22,5","2"
"223,0","228,5","3","16,5","1"
"222,5","228,5","1","6,0","0"
"221,5","228,5","1","7,0","0"
"198,5","204,0","1","5,5","0"
"198,0","204,0","1","6,0","0"
"204,0","207,5","3","10,5","1"
"207,5","210,0","5","12,5","2"
"210,0","212,5","7","17,5","3"
"212,5","221,0","9","76,5","4"
"213,0","221,0","11","88,0","5"
"221,0","225,5","13","58,5","6"
"225,5","229,5","15","60,0","7"
"229,5","236,0","17","110,5","8"
"236,0","246,5","19","199,5","9"
"246,5","251,5","21","105,0","10"
"251,5","239,0","23","-287,5","11"
"245,0","247,0","21","42,0","10"
"239,0","242,0","19","57,0","9"
"242,0","245,5","3","10,5","1"
"240,0","243,0","1","3,0","0"
"243,0","245,5","3","7,5","1"
"242,5","245,5","1","3,0","0"
"245,5","259,5","1","14,0","0"
"247,0","259,5","1","12,5","0"
"259,5","269,5","3","30,0","1"
"269,5","276,0","5","32,5","2"
"266,0","269,5","3","10,5","1"
"265,0","267,5","1","2,5","0"
"264,0","267,5","1","3,5","0"
"265,5","267,5","1","2,0","0"
"263,5","267,5","1","4,0","0"
"267,5","269,5","3","6,0","1"
"269,5","276,0","5","32,5","2"
"276,0","279,5","7","24,5","3"
"276,0","279,5","1","3,5","0"
"277,0","279,5","3","7,5","1"
"277,0","279,5","1","2,5","0"
"277,5","279,5","3","6,0","1"
"275,0","277,0","1","2,0","0"
"274,5","277,0","1","2,5","0"
"274,0","277,0","1","3,0","0"
"277,0","279,5","1","2,5","0"
"279,5","275,0","3","-13,5","1"
"280,0","275,0","5","-25,0","2"
"275,5","275,0","3","-1,5","1"
"274,0","275,0","1","1,0","0"
"274,0","275,0","1","1,0","0"
"275,0","275,0","1","0,0","0"
"","","718","",""
