"Compra","Venda","Mult","Dif","Tend"
"290,0","292,0","1","2,0","0"
"286,0","290,0","4","16,0","-2"
"302,0","304,5","4","10,0","-1.5"
"298,0","302,0","6","24,0","-2.5"
"293,0","298,0","6","30,0","-6"
"290,0","293,0","8","24,0","-5"
"286,0","290,0","4","16,0","-3"
"284,0","286,0","6","12,0","-4"
"281,5","284,0","8","20,0","-2"
"281,0","281,5","10","5,0","-2.5"
"280,0","281,0","12","12,0","-0.5"
"278,5","280,0","14","21,0","-1"
"271,5","278,5","14","98,0","-3"
"269,0","271,5","16","40,0","-8.5"
"263,5","269,0","16","88,0","-3"
"261,5","263,5","18","36,0","-5.5"
"257,5","261,5","20","80,0","-2"
"257,0","257,5","22","11,0","-4"
"253,5","257,0","24","84,0","-0.5"
"252,0","253,5","28","42,0","-3.5"
"249,0","252,0","30","90,0","-1.5"
"245,5","249,0","30","105,0","-4"
"242,0","245,5","32","112,0","-3.5"
"239,0","242,0","4","12,0","-3.5"
"238,5","239,0","6","3,0","-3"
"237,0","238,5","8","12,0","-0.5"
"234,5","237,0","6","15,0","-5.5"
"232,0","234,5","4","10,0","-3"
"230,5","232,0","4","6,0","-4"
"229,0","230,5","6","9,0","-1.5"
"228,0","229,0","6","6,0","-1.5"
"226,0","228,0","4","8,0","-1.5"
"223,5","226,0","6","15,0","-2"
"221,0","223,5","6","15,0","-2.5"
"219,0","221,0","8","16,0","-2.5"
"218,0","219,0","10","10,0","-2"
"218,0","218,0","10","0,0","-4"
"","","1115","",""
