"Compra","Venda","Mult","Dif","Tend"
"231,5","233,5","1","2,0","0"
"231,5","233,5","1","2,0","0"
"231,5","233,5","1","2,0","0"
"231,5","233,5","1","2,0","0"
"233,5","235,0","3","4,5","1"
"235,0","236,0","5","5,0","1"
"233,5","236,0","3","7,5","-0"
"229,5","236,0","1","6,5","-1"
"226,0","228,5","1","2,5","-0"
"224,0","228,5","1","4,5","-0"
"221,0","222,5","1","1,5","-0"
"217,5","220,5","1","3,0","-0"
"220,5","222,5","1","2,0","1"
"220,5","222,5","1","2,0","0"
"222,5","224,0","3","4,5","1"
"224,0","228,5","5","22,5","1"
"222,0","224,0","3","6,0","-0"
"224,0","228,5","5","22,5","1"
"223,0","228,5","3","16,5","-0"
"222,5","228,5","1","6,0","-0"
"219,5","221,5","1","2,0","-0"
"221,5","228,5","1","7,0","1"
"220,5","228,5","1","8,0","-0"
"218,5","228,5","1","10,0","-0"
"228,5","229,5","1","1,0","3"
"215,0","221,0","1","6,0","-3"
"209,0","210,0","1","1,0","-1"
"204,5","206,5","1","2,0","-1"
"206,5","210,0","1","3,5","1"
"204,5","210,0","1","5,5","-0"
"210,0","212,0","1","2,0","2"
"206,5","209,5","1","3,0","-0"
"209,5","212,0","1","2,5","1"
"212,0","212,5","1","0,5","1"
"211,5","212,5","1","1,0","-0"
"210,5","212,5","1","2,0","-0"
"209,5","210,0","1","0,5","-0"
"206,0","207,5","1","1,5","-0"
"202,0","204,0","1","2,0","-1"
"198,5","204,0","1","5,5","-0"
"198,5","204,0","1","5,5","0"
"197,0","198,0","1","1,0","-0"
"198,0","204,0","1","6,0","1"
"204,0","207,5","3","10,5","2"
"207,5","210,0","5","12,5","1"
"210,0","212,5","7","17,5","1"
"212,5","213,0","9","4,5","1"
"213,0","221,0","11","88,0","1"
"221,0","225,5","13","58,5","2"
"225,5","229,5","15","60,0","2"
"229,5","236,0","17","110,5","1"
"236,0","246,5","19","199,5","2"
"246,5","251,5","21","105,0","3"
"251,5","259,5","23","184,0","2"
"245,0","245,5","21","10,5","-1"
"245,5","247,0","1","1,5","1"
"242,5","247,0","1","4,5","-0"
"247,0","259,5","1","12,5","2"
"259,5","269,5","3","30,0","4"
"269,5","276,0","5","32,5","3"
"266,0","267,5","3","4,5","-0"
"265,0","265,5","1","0,5","-0"
"264,0","265,5","1","1,5","-0"
"264,0","265,5","1","1,5","0"
"263,0","265,5","1","2,5","-0"
"265,5","267,5","1","2,0","1"
"263,0","263,5","1","0,5","-0"
"263,5","267,5","1","4,0","1"
"267,5","269,5","3","6,0","1"
"269,5","276,0","5","32,5","1"
"276,0","277,0","7","7,0","2"
"276,0","277,0","1","1,0","0"
"277,0","277,5","3","1,5","1"
"277,0","277,5","1","0,5","0"
"277,5","279,5","3","6,0","1"
"275,0","277,0","1","2,0","-0"
"274,0","274,5","1","0,5","-0"
"273,0","274,0","1","1,0","-0"
"274,0","274,5","1","0,5","1"
"274,5","277,0","1","2,5","1"
"274,0","277,0","1","3,0","-0"
"274,0","277,0","1","3,0","0"
"272,0","277,0","1","5,0","-0"
"277,0","279,5","1","2,5","2"
"279,5","280,0","3","1,5","1"
"280,0","265,0","5","-75,0","1"
"275,5","276,5","3","3,0","-1"
"274,0","275,0","1","1,0","-0"
"274,0","275,0","1","1,0","0"
"272,5","275,0","1","2,5","-0"
"275,0","276,5","1","1,5","1"
"273,0","274,5","1","1,5","-0"
"273,0","274,5","1","1,5","0"
"274,5","276,5","3","6,0","1"
"273,0","273,5","1","0,5","-0"
"273,5","276,5","3","9,0","1"
"273,5","276,5","1","3,0","0"
"276,5","265,0","3","-34,5","1"
"265,0","265,0","1","0,0","-2"
"","","1160","",""
