"Compra","Venda","Mult","Dif","Tend"
"232,5","219,0","1","-13,5","0"
"217,5","222,0","1","4,5","0"
"218,0","222,0","3","12,0","1"
"222,0","226,5","5","22,5","2"
"226,5","231,0","7","31,5","3"
"226,5","231,0","1","4,5","0"
"217,5","224,0","1","6,5","0"
"224,0","226,5","3","7,5","1"
"219,5","223,0","1","3,5","0"
"223,0","226,5","3","10,5","1"
"224,5","226,5","5","10,0","2"
"226,5","231,0","7","31,5","3"
"227,5","231,0","9","31,5","4"
"228,0","231,0","11","33,0","5"
"231,0","234,5","13","45,5","6"
"232,5","234,5","15","30,0","7"
"234,5","237,0","17","42,5","8"
"234,0","237,0","15","45,0","7"
"232,0","221,5","1","-10,5","0"
"229,0","218,0","1","-11,0","0"
"219,5","209,0","1","-10,5","0"
"218,5","213,5","1","-5,0","0"
"212,0","213,5","1","1,5","0"
"210,0","212,0","1","2,0","0"
"212,0","213,5","3","4,5","1"
"213,5","213,5","5","0,0","2"
"","","329.5","",""
