"Compra","Venda","Mult","Dif","Tend"
"204,0","208,5","1","4,5","0"
"199,0","208,5","1","9,5","-1"
"208,5","211,0","1","2,5","3"
"201,5","208,5","1","7,0","-1"
"195,5","196,0","1","0,5","-1"
"196,0","199,0","1","3,0","1"
"199,0","208,5","1","9,5","1"
"192,5","198,5","1","6,0","-1"
"189,0","198,5","1","9,5","-0"
"198,5","208,5","1","10,0","3"
"208,5","211,0","1","2,5","3"
"211,0","211,5","3","1,5","1"
"211,5","223,0","5","57,5","1"
"223,0","228,5","7","38,5","3"
"218,0","218,5","5","2,5","-1"
"218,0","218,5","1","0,5","0"
"214,0","215,5","1","1,5","-1"
"213,5","214,0","1","0,5","-0"
"204,5","214,0","1","9,5","-2"
"214,0","215,5","1","1,5","3"
"215,5","218,5","1","3,0","1"
"218,5","228,5","1","10,0","1"
"217,5","228,5","1","11,0","-0"
"228,5","229,5","1","1,0","3"
"229,5","236,0","3","19,5","1"
"236,0","238,0","5","10,0","2"
"235,5","238,0","3","7,5","-0"
"231,5","233,0","1","1,5","-1"
"229,0","233,0","1","4,0","-0"
"233,0","234,5","1","1,5","1"
"228,5","229,5","1","1,0","-1"
"222,5","223,5","1","1,0","-1"
"218,5","219,0","1","0,5","-1"
"218,0","219,0","1","1,0","-0"
"218,0","219,0","1","1,0","0"
"209,5","212,0","1","2,5","-2"
"208,0","208,5","1","0,5","-0"
"204,0","205,5","1","1,5","-1"
"202,0","205,5","1","3,5","-0"
"198,0","205,5","1","7,5","-1"
"205,5","208,5","1","3,0","2"
"208,5","212,0","1","3,5","1"
"212,0","214,0","1","2,0","1"
"214,0","219,0","1","5,0","1"
"212,0","213,5","1","1,5","-0"
"209,5","213,5","1","4,0","-0"
"213,5","219,0","1","5,5","1"
"213,5","219,0","1","5,5","0"
"219,0","222,0","3","9,0","2"
"218,5","222,0","1","3,5","-0"
"217,5","222,0","1","4,5","-0"
"217,0","222,0","1","5,0","-0"
"222,0","223,5","1","1,5","2"
"219,5","223,5","1","4,0","-0"
"223,5","225,0","1","1,5","1"
"222,5","223,5","1","1,0","-0"
"215,5","220,5","1","5,0","-1"
"220,5","223,5","1","3,0","2"
"217,0","220,5","1","3,5","-0"
"217,0","220,5","1","3,5","0"
"220,5","223,5","3","9,0","1"
"219,0","220,5","1","1,5","-0"
"213,0","220,5","1","7,5","-1"
"209,5","211,0","1","1,5","-0"
"211,0","212,5","1","1,5","1"
"212,5","220,5","1","8,0","1"
"220,5","223,5","3","9,0","2"
"217,0","219,5","1","2,5","-0"
"219,5","220,0","3","1,5","1"
"215,5","217,5","1","2,0","-1"
"215,0","217,5","1","2,5","-0"
"213,0","217,5","1","4,5","-0"
"217,5","220,0","1","2,5","2"
"220,0","223,5","1","3,5","1"
"223,5","225,0","3","4,5","1"
"220,5","221,5","1","1,0","-0"
"219,0","221,5","1","2,5","-0"
"217,0","221,5","1","4,5","-0"
"216,0","221,5","1","5,5","-0"
"213,0","214,0","1","1,0","-0"
"213,0","214,0","1","1,0","0"
"214,0","221,5","3","22,5","1"
"213,0","221,5","1","8,5","-0"
"221,5","225,0","3","10,5","3"
"221,0","225,0","1","4,0","-0"
"225,0","228,5","3","10,5","1"
"228,5","229,5","5","5,0","1"
"229,5","231,5","7","14,0","1"
"231,5","234,5","9","27,0","1"
"213,5","234,5","7","147,0","-4"
"234,5","238,0","9","31,5","6"
"238,0","238,5","11","5,5","1"
"234,5","235,0","9","4,5","-0"
"235,0","237,5","11","27,5","1"
"235,0","237,5","1","2,5","0"
"231,5","237,5","1","6,0","-0"
"237,5","238,5","1","1,0","2"
"238,5","241,0","3","7,5","1"
"238,5","241,0","1","2,5","0"
"238,0","238,5","1","0,5","-0"
"238,0","238,5","1","0,5","0"
"238,5","241,0","3","7,5","1"
"238,5","241,0","1","2,5","0"
"241,0","236,0","3","-15,0","1"
"239,0","239,5","1","0,5","-0"
"239,5","236,0","3","-10,5","1"
"239,5","236,0","1","-3,5","0"
"236,0","236,0","1","0,0","-0"
"","","739","",""
