"Compra","Venda","Mult","Dif","Tend"
"271,0","274,0","1","3,0","0"
"274,0","277,5","3","10,5","1"
"277,5","281,0","5","17,5","1"
"281,0","282,0","7","7,0","1"
"282,0","282,5","9","4,5","1"
"282,5","285,5","11","33,0","1"
"282,5","285,5","1","3,0","0"
"282,5","285,5","1","3,0","0"
"285,5","286,5","3","3,0","1"
"286,5","288,0","5","7,5","1"
"285,0","288,0","3","9,0","-0"
"288,0","289,0","5","5,0","1"
"287,5","289,0","3","4,5","-0"
"289,0","290,5","5","7,5","1"
"290,5","285,0","7","-38,5","1"
"287,0","288,0","5","5,0","-0"
"285,0","286,5","3","4,5","-0"
"286,5","288,0","5","7,5","1"
"288,0","290,5","7","17,5","1"
"284,0","285,5","5","7,5","-1"
"283,5","285,5","3","6,0","-0"
"279,0","279,5","1","0,5","-1"
"277,5","278,5","1","1,0","-0"
"271,5","272,0","1","0,5","-1"
"272,0","272,5","1","0,5","1"
"269,5","270,5","1","1,0","-0"
"270,5","271,0","1","0,5","1"
"267,5","268,0","1","0,5","-0"
"268,0","268,5","1","0,5","1"
"268,5","271,0","1","2,5","1"
"266,5","267,5","1","1,0","-0"
"267,5","271,0","1","3,5","1"
"271,0","272,5","3","4,5","1"
"272,5","274,0","5","7,5","1"
"274,0","275,0","7","7,0","1"
"275,0","276,0","9","9,0","1"
"276,0","277,5","11","16,5","1"
"277,5","278,5","13","13,0","1"
"278,5","279,5","15","15,0","1"
"279,5","282,5","15","45,0","1"
"282,5","285,5","3","9,0","2"
"281,5","285,5","1","4,0","-0"
"285,5","286,0","3","1,5","1"
"285,5","286,0","1","0,5","0"
"284,5","285,0","1","0,5","-0"
"285,0","286,0","1","1,0","1"
"284,5","286,0","1","1,5","-0"
"283,5","286,0","1","2,5","-0"
"281,5","283,0","1","1,5","-0"
"283,0","286,0","1","3,0","1"
"280,0","283,0","1","3,0","-0"
"283,0","286,0","1","3,0","1"
"280,0","280,5","1","0,5","-0"
"280,5","281,0","1","0,5","1"
"279,0","281,0","1","2,0","-0"
"281,0","282,5","1","1,5","1"
"282,5","283,0","1","0,5","1"
"281,0","283,0","1","2,0","-0"
"283,0","286,0","1","3,0","1"
"281,5","282,0","1","0,5","-0"
"282,0","286,0","1","4,0","1"
"286,0","288,0","1","2,0","1"
"285,5","288,0","1","2,5","-0"
"285,5","288,0","1","2,5","0"
"285,0","288,0","1","3,0","-0"
"284,5","288,0","1","3,5","-0"
"288,0","290,5","1","2,5","1"
"288,0","290,5","1","2,5","0"
"288,0","290,5","1","2,5","0"
"288,0","290,5","1","2,5","0"
"287,5","290,5","1","3,0","-0"
"290,5","285,0","1","-5,5","1"
"290,0","285,0","1","-5,0","-0"
"289,5","285,0","1","-4,5","-0"
"288,0","285,0","1","-3,0","-0"
"287,5","285,0","1","-2,5","-0"
"285,0","285,5","1","0,5","-0"
"284,0","285,5","1","1,5","-0"
"285,5","285,0","1","-0,5","1"
"283,0","285,0","1","2,0","-0"
"285,0","285,0","1","0,0","1"
"284,5","285,0","1","0,5","-0"
"284,5","285,0","1","0,5","0"
"285,0","285,0","3","0,0","1"
"","","313","",""
