"Compra","Venda","Mult","Dif","Tend"
"253,5","235,5","1","-18,0","0"
"253,0","235,5","1","-17,5","-0.5"
"249,5","250,0","1","0,5","-3.5"
"247,0","249,0","1","2,0","-2.5"
"241,0","241,5","1","0,5","-6"
"240,0","241,5","1","1,5","-1"
"241,5","242,5","1","1,0","1.5"
"238,0","240,5","1","2,5","-3.5"
"237,5","240,5","1","3,0","-0.5"
"237,0","240,5","1","3,5","-0.5"
"234,0","237,0","1","3,0","-3"
"237,0","240,5","1","3,5","3"
"237,0","240,5","1","3,5","0"
"237,0","240,5","1","3,5","0"
"240,5","242,5","4","8,0","3.5"
"235,5","240,0","1","4,5","-5"
"240,0","240,5","4","2,0","4.5"
"240,5","242,5","6","12,0","0.5"
"242,5","247,0","8","36,0","2"
"247,0","249,0","10","20,0","4.5"
"249,0","250,0","12","12,0","2"
"250,0","235,5","14","-203,0","1"
"249,0","235,5","12","-162,0","-1"
"246,0","235,5","12","-126,0","-3"
"","","-404","",""
