"Compra","Venda","Mult","Dif","Tend"
"253,0","253,5","1","0,5","0"
"249,5","253,0","4","14,0","-0.5"
"247,0","249,5","6","15,0","-3.5"
"241,0","247,0","8","48,0","-2.5"
"240,0","241,0","10","10,0","-6"
"238,0","240,0","12","24,0","-1"
"237,5","238,0","12","6,0","-3.5"
"237,0","237,5","14","7,0","-0.5"
"234,0","237,0","16","48,0","-0.5"
"233,5","234,0","18","9,0","-3"
"232,0","233,5","10","15,0","-3"
"228,0","232,0","12","48,0","-1.5"
"226,5","228,0","4","6,0","-4"
"226,5","228,0","4","6,0","-0.5"
"225,0","226,5","6","9,0","-1.5"
"224,0","225,0","4","4,0","-2"
"223,0","224,0","6","6,0","-1"
"222,5","223,0","6","3,0","-1.5"
"220,0","222,5","8","20,0","-0.5"
"219,0","220,0","4","4,0","-2.5"
"219,0","221,0","4","8,0","-1"
"218,0","219,0","6","6,0","-2"
"215,5","218,0","8","20,0","-1"
"215,5","215,5","6","0,0","-4.5"
"","","336.5","",""
