"Compra","Venda","Mult","Dif","Tend"
"289,0","273,5","1","-15,5","0"
"289,0","276,0","1","-13,0","0"
"289,0","276,0","1","-13,0","0"
"286,5","289,5","1","3,0","0"
"296,5","286,5","3","-30,0","-1"
"286,0","288,5","1","2,5","0"
"289,0","291,0","1","2,0","0"
"289,0","291,0","1","2,0","0"
"286,0","289,0","3","9,0","-1"
"286,0","288,0","5","10,0","-2"
"296,5","286,0","7","-73,5","-3"
"300,0","287,5","5","-62,5","-2"
"300,0","290,0","3","-30,0","-1"
"304,0","293,5","1","-10,5","0"
"304,0","293,0","3","-33,0","-1"
"305,0","295,0","1","-10,0","0"
"304,0","293,5","3","-31,5","-1"
"304,0","294,0","1","-10,0","0"
"305,5","295,5","1","-10,0","0"
"305,5","295,5","1","-10,0","0"
"294,0","296,0","1","2,0","0"
"304,0","294,0","3","-30,0","-1"
"305,5","295,5","1","-10,0","0"
"300,5","302,5","1","2,0","0"
"299,0","302,0","1","3,0","0"
"296,0","300,5","3","13,5","-1"
"299,0","301,0","1","2,0","0"
"296,0","300,5","3","13,5","-1"
"299,0","301,0","1","2,0","0"
"296,0","300,5","3","13,5","-1"
"296,0","299,0","5","15,0","-2"
"296,0","300,5","3","13,5","-1"
"306,5","296,0","5","-52,5","-2"
"294,5","297,0","3","7,5","-1"
"305,0","294,5","5","-52,5","-2"
"305,0","294,5","1","-10,5","0"
"306,5","296,0","1","-10,5","0"
"305,0","294,5","3","-31,5","-1"
"306,5","296,0","1","-10,5","0"
"295,0","298,5","1","3,5","0"
"295,0","297,0","1","2,0","0"
"305,0","295,0","3","-30,0","-1"
"305,0","295,0","1","-10,0","0"
"295,0","297,0","1","2,0","0"
"298,0","300,0","1","2,0","0"
"298,0","300,0","1","2,0","0"
"297,5","299,5","3","6,0","-1"
"296,0","298,0","5","10,0","-2"
"306,5","296,0","3","-31,5","-1"
"305,0","295,0","5","-50,0","-2"
"308,0","307,0","1","-1,0","0"
"308,0","306,5","3","-4,5","-1"
"308,0","309,0","1","1,0","0"
"308,0","308,0","3","0,0","-1"
"308,0","308,0","1","0,0","0"
"","","-543","",""
