"Compra","Venda","Mult","Dif","Tend"
"198,0","199,5","1","1,5","0"
"199,5","200,0","3","1,5","1"
"197,5","199,5","1","2,0","-0"
"197,5","199,5","1","2,0","0"
"195,5","199,5","1","4,0","-0"
"199,5","200,0","1","0,5","1"
"196,5","200,0","1","3,5","-0"
"200,0","202,5","1","2,5","1"
"202,5","204,0","3","4,5","1"
"200,5","204,0","1","3,5","-0"
"204,0","206,5","3","7,5","1"
"206,5","208,0","5","7,5","1"
"204,5","205,0","3","1,5","-0"
"204,0","205,0","1","1,0","-0"
"204,0","205,0","1","1,0","0"
"201,5","205,0","1","3,5","-0"
"201,0","205,0","1","4,0","-0"
"205,0","205,5","1","0,5","1"
"203,0","205,5","1","2,5","-0"
"201,5","205,5","1","4,0","-0"
"205,5","208,0","1","2,5","1"
"208,0","208,5","1","0,5","1"
"207,0","208,5","1","1,5","-0"
"206,5","208,5","1","2,0","-0"
"206,5","208,5","1","2,0","0"
"208,5","211,5","3","9,0","1"
"211,5","213,5","5","10,0","1"
"213,5","214,0","7","3,5","1"
"214,0","217,0","9","27,0","1"
"212,0","217,0","7","35,0","-0"
"217,0","218,0","9","9,0","2"
"217,0","218,0","1","1,0","0"
"218,0","221,5","3","10,5","1"
"214,0","215,0","1","1,0","-1"
"215,0","221,5","3","19,5","1"
"213,0","215,0","1","2,0","-0"
"215,0","221,5","3","19,5","1"
"221,5","222,0","5","2,5","2"
"221,0","222,0","3","3,0","-0"
"221,0","222,0","1","1,0","0"
"218,5","219,0","1","0,5","-0"
"219,0","220,0","1","1,0","1"
"216,5","220,0","1","3,5","-0"
"220,0","222,0","1","2,0","1"
"222,0","223,5","3","4,5","1"
"223,5","224,5","5","5,0","1"
"224,5","228,5","7","28,0","1"
"228,5","231,0","9","22,5","1"
"231,0","236,5","11","60,5","1"
"236,5","241,0","13","58,5","2"
"229,0","230,0","11","11,0","-1"
"230,0","232,0","13","26,0","1"
"232,0","235,5","15","52,5","1"
"235,5","236,0","17","8,5","1"
"236,0","241,0","19","95,0","1"
"241,0","243,0","5","10,0","2"
"237,5","240,0","3","7,5","-0"
"237,5","240,0","1","2,5","0"
"237,0","240,0","1","3,0","-0"
"240,0","243,0","1","3,0","1"
"240,0","243,0","1","3,0","0"
"243,0","244,0","3","3,0","1"
"242,5","243,0","1","0,5","-0"
"243,0","244,0","3","3,0","1"
"244,0","244,5","5","2,5","1"
"243,0","244,5","3","4,5","-0"
"241,5","242,0","1","0,5","-0"
"241,5","242,0","1","0,5","0"
"241,0","242,0","1","1,0","-0"
"239,5","240,0","1","0,5","-0"
"240,0","242,0","1","2,0","1"
"242,0","243,0","1","1,0","1"
"241,5","242,0","1","0,5","-0"
"241,5","242,0","1","0,5","0"
"242,0","243,0","3","3,0","1"
"243,0","244,5","5","7,5","1"
"244,5","244,5","7","0,0","1"
"244,5","244,5","1","0,0","0"
"244,5","244,5","1","0,0","0"
"","","659","",""
