"Compra","Venda","Mult","Dif","Tend"
"278,5","285,5","1","7,0","0"
"285,5","289,5","4","16,0","7"
"289,5","290,5","6","6,0","4"
"290,5","270,5","8","-160,0","1"
"288,5","270,5","7","-126,0","-2"
"285,5","270,5","6","-90,0","-3"
"280,5","284,0","1","3,5","-5"
"284,0","285,5","4","6,0","3.5"
"281,0","285,5","1","4,5","-3"
"277,0","279,0","1","2,0","-4"
"279,0","285,5","1","6,5","2"
"285,5","270,5","4","-60,0","6.5"
"283,0","270,5","1","-12,5","-2.5"
"279,5","281,5","1","2,0","-3.5"
"274,0","276,5","1","2,5","-5.5"
"276,5","279,0","1","2,5","2.5"
"279,0","281,5","1","2,5","2.5"
"281,5","270,5","4","-44,0","2.5"
"","","-431.5","",""
